"","Total.Passing.Vehicle.Volume","Longitude","Latitude"
"163",18500,-87.629368,41.880734
"164",19700,-87.66523,41.891001
"165",16400,-87.62091,41.891791
"166",19000,-87.647604,41.892362
"167",20400,-87.647211,41.876932
"168",20000,-87.64745,41.884845
"169",11900,-87.643682,41.877989
"170",11300,-87.634405,41.878111
"171",8600,-87.652996,41.877853
"172",14100,-87.649854,41.885625
"173",32300,-87.632548,41.890186
"174",16200,-87.632336,41.880972
"175",10500,-87.668678,41.881427
"176",15800,-87.65456,41.881657
"177",17400,-87.642708,41.881836
"178",21600,-87.624114,41.866034
"179",22500,-87.623968,41.859365
"180",33100,-87.624218,41.873905
"181",46500,-87.624349,41.881365
"182",42200,-87.624231,41.893982
"183",20900,-87.656489,41.894073
"184",32800,-87.630272,41.892439
"185",12300,-87.621433,41.892579
"186",11300,-87.657103,41.880487
"187",18500,-87.634637,41.884466
"188",9300,-87.650176,41.884359
"189",18200,-87.643422,41.884431
"190",22400,-87.627233,41.859198
"191",21100,-87.628206,41.896924
"192",31400,-87.627576,41.873424
"193",10500,-87.648742,41.87665
"194",8800,-87.626681,41.890636
"195",9200,-87.626189,41.88133
"196",14700,-87.636914,41.878077
"197",29900,-87.630054,41.886817
"198",23800,-87.637068,41.884486
"199",4500,-87.668041,41.882362
"200",38700,-87.666307,41.863688
"201",28900,-87.67545,41.866765
"202",26800,-87.659,41.866958
"203",19000,-87.645288,41.891218
"204",13200,-87.63502,41.885733
"205",13400,-87.621457,41.893383
"206",13100,-87.65648,41.859764
"207",44000,-87.624537,41.887944
"208",18200,-87.624601,41.888071
"209",10400,-87.626842,41.888062
"210",19700,-87.628001,41.887471
"211",16600,-87.629531,41.886932
"212",18700,-87.631008,41.886935
"213",26900,-87.632484,41.886928
"214",12200,-87.633964,41.886932
"215",12600,-87.635441,41.886855
"216",15000,-87.636864,41.885725
"217",18500,-87.637906,41.884455
"218",17000,-87.638103,41.883192
"219",17100,-87.638745,41.881895
"220",16000,-87.638285,41.880605
"221",14300,-87.636437,41.879353
"222",14300,-87.637659,41.878068
"223",10200,-87.639623,41.876771
"224",4900,-87.636323,41.876342
"225",32000,-87.636377,41.876142
"226",9700,-87.635138,41.875561
"227",9900,-87.633684,41.876584
"228",2800,-87.633082,41.87559
"229",2100,-87.631755,41.876358
"230",2000,-87.629701,41.875841
"231",15100,-87.629253,41.876483
"232",3500,-87.628733,41.876735
"233",24200,-87.627651,41.876904
"234",9600,-87.626044,41.876452
"235",33500,-87.624273,41.876241
"236",7500,-87.623366,41.876222
"237",7900,-87.622407,41.87831
"238",13500,-87.622687,41.88085
"239",19900,-87.623595,41.884434
"240",4600,-87.622306,41.885784
"241",10600,-87.623929,41.88673
"242",5800,-87.621577,41.886919
"243",15200,-87.62409,41.888169
"244",34200,-87.623405,41.888302
