,Unnamed: 0,Total.Passing.Vehicle.Volume,Longitude,Latitude,hood_code
0,1,18800,-87.676043,41.859378,31
1,2,8300,-87.62247099999999,41.863938,33
2,3,6100,-87.62228,41.85566,33
3,4,20600,-87.624115,41.865924,33
4,5,23100,-87.62733,41.863436,33
5,6,29300,-87.666676,41.876934000000006,28
6,7,38700,-87.66656,41.872567,28
7,8,38300,-87.666256,41.861874,28
8,9,13600,-87.63063199999999,41.873009,32
9,10,22600,-87.630511,41.869893,32
10,11,23000,-87.630255,41.861478000000005,33
11,12,14800,-87.630176,41.855964,33
12,13,15600,-87.647091,41.873459999999994,28
13,14,13400,-87.646862,41.865313,28
14,15,4200,-87.661484,41.863965,28
15,16,5300,-87.661264,41.855897999999996,31
16,17,10700,-87.656729,41.868520000000004,28
17,18,5400,-87.65659699999999,41.864028999999995,28
18,19,8500,-87.63282099999999,41.85774,34
19,20,8100,-87.624476,41.857869,33
20,21,3800,-87.62299300000001,41.857890000000005,33
21,22,5200,-87.660062,41.859146,31
22,23,28200,-87.66810600000001,41.866859999999996,28
23,24,31600,-87.647525,41.867145,28
24,25,41300,-87.638052,41.867266,28
25,26,33200,-87.62540600000001,41.867439000000005,32
26,27,10500,-87.624836,41.873149,32
27,28,12400,-87.620591,41.873213,32
28,29,37900,-87.620509,41.869368,32
29,30,7900,-87.676455,41.874043,28
30,31,10600,-87.67061899999999,41.874122,28
31,32,8800,-87.665037,41.874199,28
32,33,15000,-87.652225,41.874359999999996,28
33,34,5900,-87.627297,41.87438,32
34,35,11000,-87.646119,41.874327,28
35,36,4800,-87.64217,41.866652,28
36,37,6400,-87.642397,41.873569,28
37,38,8900,-87.633321,41.872155,32
38,39,2400,-87.619095,41.855226,33
39,40,15600,-87.639626,41.875514,28
40,41,7300,-87.640956,41.874389,28
41,42,37800,-87.620401,41.867512,33
42,43,7800,-87.62919000000001,41.873925,32
43,44,6300,-87.643862,41.873531,28
44,45,9100,-87.62598,41.873661,32
45,46,11500,-87.625851,41.868320000000004,32
46,47,4200,-87.633488,41.869271999999995,32
47,48,20100,-87.671635,41.876773,28
48,49,165200,-87.61793399999999,41.860562,33
49,50,19900,-87.66681899999999,41.880815000000005,28
50,51,31700,-87.666752,41.879119,28
51,52,8800,-87.644062,41.879863,28
52,53,34400,-87.667335,41.897607,24
53,54,9700,-87.663033,41.885403000000004,28
54,55,23000,-87.630189,41.896651,8
55,56,18400,-87.63001700000001,41.893244,8
56,57,76700,-87.63087800000001,41.875606,32
57,58,17400,-87.67335,41.895971,24
58,59,7400,-87.628624,41.876909999999995,32
59,60,10100,-87.628405,41.878174,32
60,61,11200,-87.628325,41.879452,32
61,62,13000,-87.626654,41.880775,32
62,63,11500,-87.628403,41.882024,32
63,64,13700,-87.628288,41.885746999999995,32
64,65,14300,-87.628926,41.883215,32
65,66,18000,-87.628798,41.884485,32
66,67,5500,-87.66856800000001,41.877595,28
67,68,6600,-87.665993,41.877635,28
68,69,17600,-87.618837,41.878356,32
69,70,3500,-87.67412900000001,41.87878,28
70,71,12700,-87.627549,41.883218,32
71,72,6900,-87.675556,41.885023,28
72,73,19600,-87.675563,41.890846,24
73,74,27600,-87.647745,41.896397,24
74,75,17100,-87.66569799999999,41.896097,24
75,76,12800,-87.66515,41.899743,24
76,77,18100,-87.62309499999999,41.89675,8
77,78,11900,-87.62025200000001,41.896786999999996,8
78,79,10500,-87.633902,41.876846,32
79,80,11500,-87.62921899999999,41.874957,32
80,81,33600,-87.676475,41.874596999999994,28
81,82,7700,-87.632267,41.878543,32
82,83,6300,-87.644032,41.878908,28
83,84,11600,-87.641098,41.878904,28
84,85,12100,-87.639575,41.878519,28
85,86,11600,-87.633752,41.879090000000005,32
86,87,16500,-87.630811,41.879069,32
87,88,17900,-87.629312,41.878484,32
88,89,13800,-87.64275500000001,41.880547,28
89,90,19000,-87.644644,41.883162,28
90,91,14200,-87.633278,41.891595,8
91,92,9100,-87.642619,41.880549,28
92,93,12500,-87.657007,41.876982,28
93,94,10900,-87.626108,41.879007,32
94,95,39000,-87.624351,41.879529,32
95,96,30100,-87.620705,41.878842,32
96,97,20300,-87.67674699999999,41.885313000000004,28
97,98,20300,-87.647485,41.886044,28
98,99,11100,-87.64944,41.892395,24
99,100,7400,-87.626772,41.893693,8
100,101,23100,-87.647818,41.897791999999995,24
101,102,16500,-87.631275,41.897746999999995,8
102,103,5900,-87.659747,41.882936,28
103,104,6000,-87.65821600000001,41.88422,28
104,105,23100,-87.628117,41.893306,8
105,106,39000,-87.63265,41.893609000000005,8
106,107,16400,-87.629699,41.893431,8
107,108,21200,-87.63117700000001,41.89363,8
108,109,9400,-87.634114,41.893370000000004,8
109,110,22800,-87.632438,41.885449,32
110,111,8200,-87.626269,41.88535,32
111,112,14100,-87.629469,41.884893,32
112,113,14500,-87.630954,41.885107,32
113,114,10600,-87.633916,41.885249,32
114,115,16800,-87.635389,41.884873999999996,32
115,116,8300,-87.642746,41.8848,28
116,117,7300,-87.644242,41.885696,28
117,118,18800,-87.676739,41.884983,28
118,119,4500,-87.64436500000001,41.891011999999996,24
119,120,14100,-87.66496,41.90238,24
120,121,10700,-87.620359,41.896368,8
121,122,14100,-87.631399,41.902198999999996,8
122,123,62700,-87.628433,41.875633,32
123,124,18800,-87.628113,41.891671,8
124,125,13000,-87.630742,41.876698,32
125,126,20100,-87.62766500000001,41.891676000000004,8
126,127,37700,-87.634088,41.892388000000004,8
127,128,12400,-87.66285,41.881522,28
128,129,12100,-87.639674,41.881585,28
129,130,21200,-87.636735,41.8807,32
130,131,42500,-87.666487,41.870413,28
131,132,14600,-87.63448199999999,41.883208,32
132,133,9500,-87.649602,41.883107,28
133,134,16300,-87.634063,41.891353,8
134,135,9900,-87.633811,41.881401000000004,32
135,136,9500,-87.659605,41.857903,31
136,137,31400,-87.67634699999999,41.8702,28
137,138,25300,-87.647091,41.873459999999994,28
138,139,14400,-87.656828,41.871676,28
139,140,3800,-87.658396,41.879037,28
140,141,11700,-87.641796,41.879284000000006,28
141,142,16400,-87.634436,41.879377000000005,32
142,143,5100,-87.652799,41.879125,28
143,144,30500,-87.667289,41.89604,24
144,145,35700,-87.666676,41.876934000000006,28
145,146,18900,-87.67336,41.899615000000004,24
146,147,10200,-87.639827,41.885079,28
147,148,25500,-87.653604,41.896291999999995,24
148,149,20700,-87.631064,41.889469,8
149,150,20400,-87.63064200000001,41.873368,32
150,151,15500,-87.630875,41.881592,32
151,152,17300,-87.631157,41.892773,8
152,153,25800,-87.630476,41.869119,32
153,154,6900,-87.64129799999999,41.8852,28
154,155,11500,-87.64115,41.880534000000004,28
155,156,37000,-87.62055600000001,41.87138,32
156,157,72400,-87.630673,41.875611,32
157,158,40700,-87.626134,41.875684,32
158,159,15600,-87.677026,41.895021,24
159,160,21500,-87.67654499999999,41.877446,28
160,161,18200,-87.676677,41.88276,28
161,162,16100,-87.629599,41.889784000000006,8
162,163,18500,-87.629368,41.880734000000004,32
163,164,19700,-87.66523000000001,41.891001,24
164,165,16400,-87.62091,41.891791,8
165,166,19000,-87.647604,41.892362,24
166,167,20400,-87.647211,41.876932000000004,28
167,168,20000,-87.64745,41.884845,28
168,169,11900,-87.643682,41.877989,28
169,170,11300,-87.634405,41.878111,32
170,171,8600,-87.652996,41.877853,28
171,172,14100,-87.649854,41.885625,28
172,173,32300,-87.632548,41.890186,8
173,174,16200,-87.632336,41.880972,32
174,175,10500,-87.668678,41.881427,28
175,176,15800,-87.65456,41.881657000000004,28
176,177,17400,-87.642708,41.881836,28
177,178,21600,-87.624114,41.866034,33
178,179,22500,-87.623968,41.859365000000004,33
179,180,33100,-87.624218,41.873905,32
180,181,46500,-87.624349,41.881365,32
181,182,42200,-87.62423100000001,41.893982,8
182,183,20900,-87.65648900000001,41.894073,24
183,184,32800,-87.63027199999999,41.892439,8
184,185,12300,-87.621433,41.892579,8
185,186,11300,-87.657103,41.880487,28
186,187,18500,-87.634637,41.884465999999996,32
187,188,9300,-87.650176,41.884359,28
188,189,18200,-87.643422,41.884431,28
189,190,22400,-87.62723299999999,41.859198,33
190,191,21100,-87.628206,41.896924,8
191,192,31400,-87.627576,41.873424,32
192,193,10500,-87.648742,41.87665,28
193,194,8800,-87.626681,41.890636,8
194,195,9200,-87.626189,41.88133,32
195,196,14700,-87.636914,41.878077000000005,32
196,197,29900,-87.630054,41.886817,32
197,198,23800,-87.637068,41.884485999999995,32
198,199,4500,-87.668041,41.882362,28
199,200,38700,-87.66630699999999,41.863688,28
200,201,28900,-87.67545,41.866765,28
201,202,26800,-87.65899999999999,41.866958000000004,28
202,203,19000,-87.645288,41.891218,24
203,204,13200,-87.63502,41.885733,32
204,205,13400,-87.62145699999999,41.893383,8
205,206,13100,-87.65648,41.859764,31
206,207,44000,-87.624537,41.887944,32
207,208,18200,-87.624601,41.888071000000004,32
208,209,10400,-87.62684200000001,41.888062,8
209,210,19700,-87.628001,41.887471000000005,32
210,211,16600,-87.629531,41.886932,32
211,212,18700,-87.631008,41.886935,32
212,213,26900,-87.63248399999999,41.886928000000005,32
213,214,12200,-87.633964,41.886932,32
214,215,12600,-87.635441,41.886855,32
215,216,15000,-87.636864,41.885725,32
216,217,18500,-87.637906,41.884454999999996,28
217,218,17000,-87.638103,41.883192,32
218,219,17100,-87.638745,41.881895,28
219,220,16000,-87.638285,41.880604999999996,32
220,221,14300,-87.636437,41.879353,32
221,222,14300,-87.637659,41.878068,32
222,223,10200,-87.639623,41.876771000000005,28
223,224,4900,-87.636323,41.876342,32
224,225,32000,-87.636377,41.876142,32
225,226,9700,-87.635138,41.875561,32
226,227,9900,-87.633684,41.876584,32
227,228,2800,-87.633082,41.87559,32
228,229,2100,-87.631755,41.876358,32
229,230,2000,-87.629701,41.875840999999994,32
230,231,15100,-87.629253,41.876483,32
231,232,3500,-87.628733,41.876735,32
232,233,24200,-87.627651,41.876903999999996,32
233,234,9600,-87.626044,41.876452,32
234,235,33500,-87.624273,41.876241,32
235,236,7500,-87.623366,41.876222,32
236,237,7900,-87.622407,41.87831,32
237,238,13500,-87.622687,41.88085,32
238,239,19900,-87.623595,41.884434000000006,32
239,240,4600,-87.62230600000001,41.885784,32
240,241,10600,-87.623929,41.88673,32
241,242,5800,-87.621577,41.886919,32
242,243,15200,-87.62409,41.888169,32
243,244,34200,-87.623405,41.888302,32
