"year","month","credate","Ward","Police.District","Community.Area","Latitude","Longitude"
2015,9,2015-09-06,48,20,77,41.9775480107052,-87.6634420692849
2015,9,2015-09-05,49,24,1,42.0033795880553,-87.6646234246724
2015,9,2015-09-02,26,25,23,41.9115295877485,-87.724085443314
2015,9,2015-09-01,28,12,28,41.8701630874931,-87.6569317211765
2015,9,2015-09-01,8,5,50,41.715375496906,-87.5968445797582
2015,9,2015-09-11,15,7,67,41.782840400915,-87.6692986140192
2015,9,2015-09-10,15,7,67,41.782840400915,-87.6692986140192
2015,9,2015-09-10,39,17,16,41.9570596785003,-87.7310961854371
2015,9,2015-09-09,46,19,3,41.9666552873934,-87.6658672590869
2015,9,2015-09-09,47,19,5,41.952466869821,-87.677049119424
2015,9,2015-09-09,39,17,16,41.9616696812442,-87.7371799639391
2015,9,2015-09-08,3,2,38,41.8179937159771,-87.6215935642648
2015,9,2015-09-08,39,17,13,41.9724535378894,-87.7145180993079
2015,9,2015-09-02,12,9,58,41.8231387748465,-87.6996608792172
2015,9,2015-09-02,9,5,50,41.687513248704,-87.6109001153616
2015,9,2015-09-01,8,3,69,41.7605558007268,-87.6018298663189
2015,9,2015-09-13,12,9,59,41.8321594144236,-87.6710912218078
2015,9,2015-09-13,38,16,17,41.9421038446334,-87.7944864648029
2015,9,2015-09-13,36,16,17,41.9476276658792,-87.7832371420669
2015,9,2015-09-13,8,4,48,41.7357945941236,-87.5933209249995
2015,9,2015-09-13,5,3,43,41.7734385660095,-87.5668993058332
2015,9,2015-09-14,17,6,71,41.7486077459279,-87.6662180518785
2015,9,2015-09-14,6,6,69,41.7579883606242,-87.6113093954604
2015,9,2015-09-14,12,9,59,41.8339287250133,-87.6745509681353
2015,9,2015-09-14,8,6,44,41.7427101813195,-87.6024199812471
2015,9,2015-09-12,30,16,15,41.9433064284605,-87.7569817535974
2015,9,2015-09-12,26,12,24,41.8998567215119,-87.7006315654123
2015,9,2015-09-12,18,8,70,41.7555631839302,-87.7214761382527
2015,9,2015-09-12,36,25,19,41.9183039969956,-87.7793303594328
2015,9,2015-09-12,8,4,45,41.7484190119504,-87.5931295907424
2015,9,2015-09-11,41,16,9,42.0167221068697,-87.8088694449801
2015,9,2015-09-11,45,16,15,41.9651396776001,-87.7685786469659
2015,9,2015-09-11,13,8,62,41.7862440900757,-87.7292317711411
2015,9,2015-09-11,14,8,56,41.8019587573968,-87.7419289728686
2015,9,2015-09-11,18,8,70,41.7489249465139,-87.7241205398331
2015,9,2015-09-11,8,4,48,41.7351879724155,-87.5865689911633
2015,9,2015-09-10,9,5,49,41.6986301525492,-87.61489776749
2015,9,2015-09-10,20,2,40,41.7868996114423,-87.6172596480502
2015,9,2015-09-10,39,17,14,41.9702405491808,-87.7438561173998
2015,9,2015-09-10,23,8,56,41.7894157889403,-87.7635474297325
2015,9,2015-09-10,34,5,53,41.6835977379206,-87.6263166324385
2015,9,2015-09-10,11,12,31,41.8585441923435,-87.643044313241
2015,9,2015-09-10,8,6,69,41.7519695300273,-87.602919042097
2015,9,2015-09-10,49,24,1,42.0187189534068,-87.6698772266644
2015,9,2015-09-10,39,17,16,41.9676762711151,-87.7454413700292
2015,9,2015-09-10,49,24,1,42.0044508161999,-87.6695004423617
2015,9,2015-09-10,39,17,14,41.9700438718006,-87.7381009721056
2015,9,2015-09-09,5,3,43,41.7656814871345,-87.5675760767716
2015,9,2015-09-09,47,19,6,41.9450151428,-87.6716712385152
2015,9,2015-09-08,40,24,77,41.9929947081367,-87.6703613513555
2015,9,2015-09-08,8,6,44,41.7477831071341,-87.6009664329561
2015,9,2015-09-08,8,3,43,41.7598024281162,-87.5846736199084
2015,9,2015-09-08,8,4,43,41.7535582310741,-87.5725094910924
2015,9,2015-09-08,40,24,77,41.994319715362,-87.6708064119068
2015,9,2015-09-06,40,24,77,41.990871804795,-87.6716325092962
2015,9,2015-09-05,3,2,38,41.8215373082523,-87.6246349070869
2015,9,2015-09-05,8,6,44,41.7301720947402,-87.603533409004
2015,9,2015-09-04,40,20,77,41.9778515025428,-87.6722367967281
2015,9,2015-09-04,8,4,43,41.7535508272825,-87.574744773732
2015,9,2015-09-02,20,9,61,41.8067379533366,-87.661418765573
2015,9,2015-09-02,2,18,8,41.9059198153116,-87.6410055274148
2015,9,2015-09-02,11,9,60,41.8448272525924,-87.6504290070968
2015,9,2015-09-01,6,6,69,41.7566565723607,-87.6170896096012
2015,9,2015-09-01,29,25,25,41.9134336453801,-87.7947797092088
2015,9,2015-09-15,42,1,32,41.885548349944,-87.6296378735242
2015,9,2015-09-15,42,1,32,41.887526695735,-87.6196374149782
2015,9,2015-09-15,42,1,32,41.887526695735,-87.6196374149782
2015,9,2015-09-15,42,1,32,41.887526695735,-87.6196374149782
2015,9,2015-09-15,42,1,32,41.887526695735,-87.6196374149782
2015,9,2015-09-15,42,1,32,41.887526695735,-87.6196374149782
2015,9,2015-09-15,42,1,32,41.885548349944,-87.6296378735242
2015,9,2015-09-15,42,1,32,41.887526695735,-87.6196374149782
2015,9,2015-09-15,3,2,38,41.8078988362898,-87.622652464232
2015,9,2015-09-13,3,2,38,41.8177090438494,-87.6182312880007
2015,9,2015-09-12,3,2,38,41.8074446130798,-87.6182510637939
2015,9,2015-09-10,3,1,33,41.8612138084335,-87.6222597442308
2015,9,2015-09-10,6,6,69,41.7517139954733,-87.6268427423561
2015,9,2015-09-09,6,6,44,41.7419405696607,-87.6079930073128
2015,9,2015-09-09,6,6,44,41.7456055002092,-87.6112860702665
2015,9,2015-09-08,6,6,44,41.7454103286023,-87.6229931776515
2015,9,2015-09-07,6,3,69,41.7608109542099,-87.6101651356104
2015,9,2015-09-06,6,3,69,41.7653609059321,-87.6105630438783
2015,9,2015-09-01,6,6,69,41.7566565723607,-87.6170896096012
2015,9,2015-09-01,31,25,20,41.933570103774,-87.7388572532092
2015,9,2015-09-01,1,12,24,41.9022604433292,-87.6920820981553
2015,9,2015-09-01,44,19,6,41.9446443268208,-87.6541037823688
2015,9,2015-09-15,40,20,4,41.977778373114,-87.6769448373861
2015,9,2015-09-15,6,6,44,41.7406165743648,-87.6128731950719
2015,9,2015-09-15,25,9,59,41.8337633858534,-87.6801183994749
2015,9,2015-09-15,6,6,44,41.7454103286023,-87.6229931776515
2015,9,2015-09-15,25,1,32,41.8707940627577,-87.633505350681
2015,9,2015-09-15,25,12,31,41.8548740212512,-87.6715983165398
2015,9,2015-09-13,2,18,8,41.8981470845663,-87.6355930584173
2015,9,2015-09-13,47,19,5,41.9589422898697,-87.6819497564818
2015,9,2015-09-14,16,7,67,41.7707157986022,-87.6735346932777
2015,9,2015-09-12,6,7,69,41.7586935744449,-87.6297686780255
2015,9,2015-09-12,40,20,4,41.977778373114,-87.6769448373861
2015,9,2015-09-12,48,20,77,41.9775480107052,-87.6634420692849
2015,9,2015-09-11,39,17,14,41.9628603385576,-87.7322835686176
2015,9,2015-09-11,25,9,34,41.8510133858647,-87.6383810681445
2015,9,2015-09-11,39,17,14,41.9735952382351,-87.7246872344705
2015,9,2015-09-11,6,3,69,41.7627831047636,-87.6114201626385
2015,9,2015-09-11,47,19,5,41.9513893665798,-87.6890252857348
2015,9,2015-09-11,49,24,1,42.0033795880553,-87.6646234246724
2015,9,2015-09-11,12,9,59,41.8334589079697,-87.6724686106464
2015,9,2015-09-10,6,7,68,41.7725751951233,-87.6517401711919
2015,9,2015-09-10,25,12,28,41.8763890368339,-87.655616049216
2015,9,2015-09-10,12,9,59,41.8321594144236,-87.6710912218078
2015,9,2015-09-10,12,9,59,41.8321594144236,-87.6710912218078
2015,9,2015-09-09,6,7,68,41.7622961770986,-87.6466167634292
2015,9,2015-09-06,47,19,5,41.9478093001389,-87.6823703617128
2015,9,2015-09-06,6,7,68,41.7645655631534,-87.636010590595
2015,9,2015-09-05,12,9,59,41.8339287250133,-87.6745509681353
2015,9,2015-09-04,29,15,25,41.8727635240705,-87.7608321450124
2015,9,2015-09-04,16,7,67,41.7707157986022,-87.6735346932777
2015,9,2015-09-03,16,7,67,41.7707272858545,-87.6653388884345
2015,9,2015-09-03,26,14,24,41.9037059723942,-87.6896543905455
2015,9,2015-09-03,30,17,16,41.9431664890835,-87.7357763369742
2015,9,2015-09-02,6,7,69,41.7644368227063,-87.6298928836163
2015,9,2015-09-02,20,3,42,41.776273367109,-87.5971744573571
2015,9,2015-09-02,31,25,19,41.9286791565759,-87.7438510409444
2015,9,2015-09-02,32,19,7,41.927914171771,-87.6719743822794
2015,9,2015-09-02,26,12,24,41.8976643918473,-87.6873965789363
2015,9,2015-09-01,30,16,15,41.9433064284605,-87.7569817535974
2015,9,2015-09-17,17,6,71,41.7486077459279,-87.6662180518785
2015,9,2015-09-17,32,19,5,41.9396449242938,-87.6760795771832
2015,9,2015-09-17,23,8,62,41.7956526210101,-87.7194041567833
2015,9,2015-09-16,22,10,30,41.8433560696611,-87.712465913771
2015,9,2015-09-16,22,10,30,41.8346239588434,-87.7048948710178
2015,9,2015-09-16,22,10,30,41.8433560696611,-87.712465913771
2015,9,2015-09-16,13,8,65,41.7675881328903,-87.7252946859076
2015,9,2015-09-15,13,8,65,41.7688258720914,-87.7177302761368
2015,9,2015-09-15,13,8,65,41.7748263193041,-87.7310563525765
2015,9,2015-09-15,39,17,16,41.9588230374446,-87.7368171275544
2015,9,2015-09-15,11,9,60,41.8434528775574,-87.6421967930479
2015,9,2015-09-15,50,24,2,42.0120717055359,-87.6883113555307
2015,9,2015-09-15,22,10,30,41.83333195762,-87.7276936586457
2015,9,2015-09-15,42,1,32,41.8861913568695,-87.6359840691401
2015,9,2015-09-15,13,8,65,41.7731016830912,-87.721278735675
2015,9,2015-09-15,50,24,2,42.0111222909549,-87.6882494153095
2015,9,2015-09-15,23,8,66,41.7851065811589,-87.7111609450589
2015,9,2015-09-15,23,8,66,41.785101021561,-87.7115344826632
2015,9,2015-09-13,13,8,65,41.7698427444277,-87.7248284466518
2015,9,2015-09-14,50,24,2,42.0035663070059,-87.6804663704828
2015,9,2015-09-14,40,20,2,41.9882481401863,-87.6909613562143
2015,9,2015-09-14,50,24,2,42.0109388940037,-87.6874266267169
2015,9,2015-09-11,23,8,66,41.7744295697125,-87.7091298954213
2015,9,2015-09-10,11,9,60,41.834249679468,-87.6581848799914
2015,9,2015-09-10,22,10,30,41.839136123629,-87.7064968244489
2015,9,2015-09-10,50,24,2,41.9956145058475,-87.7027166853553
2015,9,2015-09-10,22,10,29,41.8486720814924,-87.7342710476009
2015,9,2015-09-10,22,10,29,41.8486132973123,-87.7342694245772
2015,9,2015-09-10,22,10,30,41.848108036901,-87.7184960379633
2015,9,2015-09-10,11,9,60,41.8351596636404,-87.6545814202562
2015,9,2015-09-10,23,8,62,41.7993066053332,-87.7161270677735
2015,9,2015-09-09,23,8,66,41.7853117308541,-87.7121375202897
2015,9,2015-09-09,22,10,30,41.8512414551996,-87.712398502818
2015,9,2015-09-09,13,8,65,41.77294336853,-87.7347498263766
2015,9,2015-09-08,22,10,30,41.8466877582056,-87.7101213831306
2015,9,2015-09-08,1,14,24,41.9054253120918,-87.6823553758594
2015,9,2015-09-08,23,8,56,41.7894157889403,-87.7635474297325
2015,9,2015-09-08,23,8,62,41.7911544700147,-87.7180538653497
2015,9,2015-09-08,23,8,62,41.7912226428021,-87.718055662055
2015,9,2015-09-07,26,14,23,41.9120495595404,-87.7044255794031
2015,9,2015-09-07,22,10,30,41.8404229366236,-87.71331660466
2015,9,2015-09-07,22,10,30,41.8404750072825,-87.7136117570244
2015,9,2015-09-07,22,10,30,41.8403532331286,-87.7340271571461
2015,9,2015-09-05,22,10,30,41.8339461864724,-87.7268608271009
2015,9,2015-09-05,32,14,22,41.9220278966044,-87.6827166251517
2015,9,2015-09-05,23,8,66,41.7853117308541,-87.7121375202897
2015,9,2015-09-06,1,14,24,41.9134444254099,-87.6993269441913
2015,9,2015-09-06,39,16,12,41.9961676342394,-87.7586834688534
2015,9,2015-09-06,13,8,62,41.7862440900757,-87.7292317711411
2015,9,2015-09-06,26,14,23,41.9072095098113,-87.7119444171043
2015,9,2015-09-04,26,12,24,41.8917575089926,-87.6795258200612
2015,9,2015-09-04,13,8,65,41.7695798980702,-87.7136707971247
2015,9,2015-09-04,23,8,62,41.7913961227172,-87.7158820811316
2015,9,2015-09-04,40,20,4,41.9741509203994,-87.6762020494319
2015,9,2015-09-04,32,19,5,41.9396449242938,-87.6760795771832
2015,9,2015-09-03,23,8,65,41.7822608673313,-87.7181535579504
2015,9,2015-09-03,41,16,76,41.9762011390239,-87.9053091251035
2015,9,2015-09-03,42,1,32,41.8880826288489,-87.6206582610662
2015,9,2015-09-03,32,14,22,41.9187152272439,-87.682400179662
2015,9,2015-09-03,1,14,22,41.9261049450546,-87.6890542092337
2015,9,2015-09-03,23,8,62,41.7989532894323,-87.7170481139495
2015,9,2015-09-03,12,9,59,41.8245000479453,-87.6749773500065
2015,9,2015-09-02,23,8,62,41.7948223400995,-87.7169275005789
2015,9,2015-09-02,23,8,65,41.7807963136385,-87.727561719749
2015,9,2015-09-02,9,5,53,41.6713793003417,-87.6235151621483
2015,9,2015-09-02,34,22,73,41.7104168588547,-87.6476419666941
2015,9,2015-09-02,16,7,68,41.7826134755679,-87.6433584207436
2015,9,2015-09-02,6,7,68,41.7715514857482,-87.6357207233512
2015,9,2015-09-02,10,4,52,41.7176974333808,-87.5327199425153
2015,9,2015-09-02,26,12,24,41.8959254738749,-87.6953281771911
2015,9,2015-09-02,9,5,49,41.7080873081322,-87.6296838817583
2015,9,2015-09-02,10,4,46,41.7369825871637,-87.5488199384152
2015,9,2015-09-01,6,6,69,41.7566565723607,-87.6170896096012
2015,9,2015-09-01,16,8,66,41.7732200118256,-87.6857713331212
2015,9,2015-09-01,10,4,52,41.6895797305914,-87.5318147915961
2015,9,2015-09-01,34,22,75,41.6782246229105,-87.6702199344514
2015,9,2015-09-01,20,2,40,41.7909552795517,-87.6254591349062
2015,9,2015-09-01,10,4,46,41.732748359586,-87.5497882249077
2015,9,2015-09-01,9,5,53,41.6741892858261,-87.6224386809676
2015,9,2015-09-18,29,15,25,41.8702995038369,-87.7510771733004
2015,9,2015-09-18,41,16,9,42.018180199256,-87.8174013359127
2015,9,2015-09-18,37,25,25,41.9124344477601,-87.7497353007324
2015,9,2015-09-18,38,16,15,41.9514525517417,-87.7662082684735
2015,9,2015-09-18,32,19,6,41.9387651256021,-87.6626712257564
2015,9,2015-09-17,47,19,5,41.9589422898697,-87.6819497564818
2015,9,2015-09-17,47,19,5,41.9589422898697,-87.6819497564818
2015,9,2015-09-17,18,8,70,41.7555631839302,-87.7214761382527
